朱时茂	陈佩斯
卢恬儿	卢润森
侯佩岑	黄伯俊
李敖	王尚勤
傅家俊	丁俊晖
梁左	梁天
司马懿	诸葛亮
李菁	郭德纲
唐杰忠	刘伟
钱钟书	辛笛
郭全宝	郭启儒
巩俐	黄和祥
五月天	阿信
孔融	荀彧
潘长江	巩汉林
上官婉儿	武则天
洪金宝	洪天照
荣剑尘	谢舒扬
傅希如	赵群
贾母	明
张简修	张静修
夏侯渊	夏侯霸
霍启山	霍启刚
范姜	钟镇涛
毛泽东	贺子珍
秦沛	王侠
萧朝贵	杨秀清
朱棣文	吉恩
林月云	侯佩岑
贾巧姐	刘姥姥
女	邱羿霖
冰心	吴文藻
蒋孝慈	蒋经国
张云溪	迟景昆
石达开	韦昌辉
毛泽东	毛新宇
谢霆锋	王力宏
曹操	姚玉英
周迅	王菲
李振辉	李小龙
刘表	孙权
谢霆锋	谢婷婷
吴尊	王力宏
杜鹃	谭兰卿
叶步青	黄敦梁
叶莉	姚明
宋仁宗	郭槐
曹彦	曹训
林立果	吴法宪
吴镇宇	惠英红
武松	西门庆
陈鸿烈	陈品亨
韦昌辉	石达开
李湘	王诗龄
杜美如	杜月笙
潘虹	杜十娘
蒋勤勤	陈建斌
唐涤生	郑孟霞
宋子文	倪桂珍
尹恩惠	金钟国
姜维	诸葛亮
郭荣启	杨少华
蒋中正	毛福梅
许褚	典韦
钟镇涛	章小婉
许晋亨	李嘉欣
陈独秀	胡适
李嘉诚	庄月明
芦璐	女
李民桥	潘金翠
陈小旺	陈照奎
袁术	曹操
傅全香	陆锦花
刘表	刘备
刘索拉	瞿小松
霍启仁	霍启山
谭正岩	谭孝曾
吕后	吕台
茹富兰	茹富蕙
茹绍荃	包飞
刘备	刘表
裘丽琳	周信芳
卢俊义	武松
陆小曼	梁启超
张智霖	袁咏仪
常俊丽	赵贞玉
陈水扁	陈致中
英达	梁欢
杨秀清	石达开
蒋纬国	蒋经国
方美芳	齐秦
石富宽	侯震
于芬	伏明霞
元春	贾政
公孙瓒	赵云
杜淳	张嘉倪
山口百惠	三浦友和
岳灵珊	林平之
阮星竹	段正淳
郭兰英	茅盾
游乃海	杜琪峰
张克帆	张洛君
马连良	梅兰芳
蔡卓妍	郑伊健
聂荣臻	杨得志
陈豪	郑嘉颖
恽代英	林育南
余德琳	许志安
刘芸	郑钧
杜近芳	李国静
董海川	程庭华
曹节	曹操
贾琏	王熙凤
萍	顾瑞英
张以成	王佩英
杨博森	杨燕毅
刘开渠	梁思成
李治	唐高宗
季承	季羡林
句号	蔡明
韩冬柏	梅葆玖
郭台铭	刘嘉玲
王云卿	胡素仙
毛泽东	章含之
张允和	周有光
陆锦花	张桂莲
黄晓娟	赵本山
倪桂珍	宋耀如
霍启文	霍震寰
毛岸青	邵华
华少	秦利鸽
武修文	武敦儒
陈琮英	任弼时
林彪	陈毅
孙权	顾雍
冯云山	萧朝贵
夏伊乔	张韵士
范雯	黄旭
李菁	何云伟
孙科	蓝妮
赵晨浩	吴尊
女	戴辛尉
金庸	林海峰
冯允庄	戴忠桂
谭鑫培	谭志道
黄旭	范雯
包拯	董氏
张君秋	张学浩
刘邦	韩信
谭鑫培	谭富英
袁术	袁绍
周华健	康粹兰
傅全香	毕春芳
姜昆	李文华
王亮	沈阳
谭鑫培	金秀山
高圆圆	窦唯
蒋孝文	蒋友梅
梁思顺	梁思庄
周渝民	言承旭
巩汉林	潘阳
刘协	曹华
陈赓	徐向前
王丽云	赵丽蓉
艾梅梅	艾青
林立果	军
毛宁	景岗山
宋姬	曹徽
大S	汪小菲
刘谌	刘禅
徐玉兰	范瑞娟
李香凝	李小龙
姚水娟	李艳芳
沈九娘	唐伯虎
释小龙	何洁
刘滨	毛新宇
于连泉	萧长华
甄子丹	武术家
顾长卫	蒋雯丽
窦靖童	王菲
虞梦	卡拉
李文华	唐杰忠
毛泽东	陶铸
冯弘	王仁
张翠山	张三丰
父	胡学礼
何猷龙	何超莲
蒋孝勇	蒋经国
张继科	刘诗雯
英如镝	英达
于芬	女
贺龙	贺晓明
冯云山	石达开
冯跋	冯弘
燕青	张横
周星霞	于文凤
米雪	林文龙
曹植	曹操
邓之诚	谭其骧
杨小娟	吕良伟
林徽因	张幼仪
王明明	周思聪
关公	侯宝林
傅全香	徐玉兰
刘骜	班婕妤
汪小菲	汪则翰
陈云	李力群
辛柏青	朱媛媛
秦叔宝	张须陀
高	张居正
曹真	曹羲
徐斌寿	陆喜才
李鸣岩	冯志孝
徐子淇	洪天明
黄美芸	高锟
王玉	孟凡贵
曹林	曹植
蔡加赞	蔡志明
李靖	杜如晦
耿伯春	卢福来
米芾	陈垣
后羿	嫦娥
周景轩	张纯华
虚竹	玄慈
赵飞燕	汉成帝
白海	王锡良
同治	马立安
黄奕	姜凯
钱瘦铁	张大千
任冰儿	任剑辉
金敏喜	李政宰
吕婉柔	大S
陈凯歌	陈红
贾珠	王夫人
邓亚萍	林志刚
李逍遥	圣姑
李赛凤	罗启仁
刘晓庆	吴宗宪
朱德	毛泽覃
钟欣桐	林建岳
佟晨洁	谢晖
宋江	李逵
袁克权	端方
刘宝全	宋五
刘备	关兴
曾国祥	曾启荣
项羽	虞姬
李敏	毛泽东
鲍蕾	陆毅
刘永行	刘永好
赵胤胤	陈数
蒋勤勤	陈建斌
塞雷多娃	布冯
宋祖英	女
新凤霞	马季
金建杭	马云
张国荣	梅艳芳
陈水扁	吴淑珍
袁日初	袁祥仁
徐天红	袁雪芬
孙策	孙翊
金巧巧	黄光裕
裘芸	张顺
贾南风	晋惠帝
小龙女	徐峥
军	石达开
黄宗江	黄宗英
谭小培	谭富英
田立禾	佟守本
高	刘伯明
王励勤	赵薇
叶群	林彪
郭女王	郭永
李四光	王君
霍启刚	郭晶晶
谭小培	谭正岩
王敏德	马诗慧
宋江	戴宗
左宗棠	曾国藩
王献之	谢安
薛世恒	卡拉
姜昆	赵炎
周总理	周好璐
那英	高峰
刘诗雯	张继科
李圣根	晏紫
李世民	李恪
侯宝林	侯耀文
马长礼	裘芸
萧何	吕后
梁从诫	梁思成
杨锐	谭嗣同
曹操	吴夫人
女	钟懿
林青霞	薛宝钗
张桂凤	徐玉兰
孙亮	孙权
蒋文端	陈绍基
曾志伟	赵晨浩
杜维屏	杜月笙
曹操	曹华
龚苏萍	孙毓敏
张桂凤	傅全香
徐学君	沈阳
王美华	曾志伟
路青	艾未未
谢霆锋	张柏芝
谢婷婷	文静
冯钟芸	任远
宋美英	陈凛
女	李林
张大千	马三立
陈伟华	陈云
丁是娥	常香玉
张氏	万冬儿
薛宝钗	王熙凤
任剑辉	余丽珍
孙权	刘备
甄子丹	梁静慈
任剑辉	谭倩红
徐天红	高剑琳
曹雪芹	薛宝钗
习仲勋	习近平
张学友	刘德华
阮小五	阮小二
徐玉兰	吕瑞英
吴公	李斯
钟丽淇	拿度
毛泽东	莫文骅
梁朝伟	韦小宝
元稹	白居易
范伟	赵本山
廖静文	徐悲鸿
张无忌	谢逊
高凌风	金友庄
霍启刚	郭晶晶
刘邦	刘肥
赵子龙	赵薇
夏明翰	谢觉哉
刘永言	刘永好
萧军	萧红
毛岸青	邵华
赵晨浩	韩庚
侯喜瑞	梅兰芳
廖承志	陈香梅
张绣	曹操
石慧儒	荣剑尘
赵培鑫	孟小冬
张洁雯	杨维
林黛玉	林申
马超	关羽
李世民	侯君集
周汤豪	周禹侯
姜昆	戴志诚
罗斯福	宋蔼龄
严慰冰	陆定一
罗福成	罗福苌
徐若瑄	比莉
蒋纬国	蒋介石
杨得志	张爱萍
朱安婕	朱慧珍
周兆明	王老赏
徐峥	陶虹
朱宏钧	白岩松
许冠文	许冠杰
王力宏	谢霆锋
史文恭	张翼鹏
柏拉图	苏格拉底
唐代宗	李邈
任剑辉	任冰儿
艾青	高瑛
廖凤舒	李少石
赵本山	洋洋
傅作义	傅冬菊
王文娟	吕瑞英
周恩来	陈毅
傅家俊	女
王平	黄宏
罗敏庄	陈国邦
吕正操	张学良
张云逸	莫文骅
汪明荃	罗家英
李海泉	李小龙
查尔斯	卡米拉
王熙凤	巧姐
吕瑞英	王文娟
万里	郭可盈
赵灵儿	女娲
汤佩松	陈华癸
萧红	端木蕻良
徐尚田	叶问
蒋纬国	宋美龄
宋江	李逵
李蔷华	童芷苓
周作人	文章
严君平	扬雄
李渊	秦叔宝
双儿	韦小宝
冯顺弟	胡适
诸葛亮	刘备
贺子珍	毛泽东
袁雪芬	张桂凤
郑裕彤	刘銮雄
季羡林	季承
唐义贞	陆定一
蔡畅	李富春
刘宝全	小岚云
张桂凤	毕春芳
许冠武	许冠英
洪金宝	父
王昌虎	王乃水
任剑辉	麦炳荣
孔褒	孔融
梅葆玖	李翔
刘翔	史冬鹏
常宝霆	常宝霖
杨云	潘长江
张国立	罗倩文
范瑞娟	王文娟
关公	侯宝林
王熙凤	贾母
毛泽东	毛泽覃
乔冠华	龚澎
浦安修	彭德怀
谢霆锋	张柏芝
邓小平	包玉刚
郑洁	张宇
叶剑英	朱德
廖仲恺	廖承志
姚沁蕾	姚明
晴雯	贾宝玉
阮经天	白歆惠
马志明	马德禄
灭绝师太	周芷若
张东健	高小英
朱安	许广平
卢晓	罗雪娟
蒋方良	蒋经国
陶勇	朱岚
宋庆龄	王光美
李宁	陈永妍
唐高祖	唐太宗
何云伟	于谦
陆英修	朴正熙
陆小曼	徐志摩
袁和平	袁日初
张震岳	周华健
钟镇涛	范姜
龚澎	乔宗淮
于文凤	朱茵
张东健	高小英
曾志伟	柏安妮
谢霆锋	郭富城
姜昆	李文华
李敏	孔从洲
潘楚颖	潘迪生
杜十娘	任剑辉
王志文	陈坚红
肖桂云	毛泽东
谢贤	狄波拉
章含之	洪晃
叶问	叶步青
陈幸妤	吴淑珍
李嘉欣	许晋亨
郜林	刘庭羽
李菁	侯耀文
